1788 481 321
162 96 -1 1
163 96 -1 1
164 96 -1 1
165 96 -1 1
166 96 -1 1
167 96 -1 1
168 96 -1 1
169 96 -1 1
170 96 -1 1
171 96 -1 1
161 97 -1 1
162 97 -1 1
163 97 -1 1
164 97 -1 1
165 97 -1 1
166 97 -1 1
167 97 -1 1
168 97 -1 1
169 97 -1 1
170 97 -1 1
171 97 -1 1
161 98 -1 1
162 98 -1 1
163 98 -1 1
164 98 -1 1
165 98 -1 1
166 98 -1 1
167 98 -1 1
168 98 -1 1
169 98 -1 1
170 98 -1 1
171 98 -1 1
172 98 -1 1
161 99 -1 1
162 99 -1 1
163 99 -1 1
164 99 -1 1
165 99 -1 1
166 99 -1 1
167 99 -1 1
168 99 -1 1
169 99 -1 1
170 99 -1 1
171 99 -1 1
172 99 -1 1
173 99 -1 1
162 100 -1 1
163 100 -1 1
164 100 -1 1
165 100 -1 1
166 100 -1 1
167 100 -1 1
168 100 -1 1
169 100 -1 1
170 100 -1 1
171 100 -1 1
172 100 -1 1
173 100 -1 1
174 100 -1 1
162 101 -1 1
163 101 -1 1
164 101 -1 1
165 101 -1 1
166 101 -1 1
167 101 -1 1
168 101 -1 1
169 101 -1 1
170 101 -1 1
171 101 -1 1
172 101 -1 1
173 101 -1 1
174 101 -1 1
162 102 -1 1
163 102 -1 1
164 102 -1 1
165 102 -1 1
166 102 -1 1
167 102 -1 1
168 102 -1 1
169 102 -1 1
170 102 -1 1
171 102 -1 1
172 102 -1 1
173 102 -1 1
174 102 -1 1
163 103 -1 1
164 103 -1 1
165 103 -1 1
166 103 -1 1
167 103 -1 1
168 103 -1 1
169 103 -1 1
170 103 -1 1
171 103 -1 1
172 103 -1 1
173 103 -1 1
174 103 -1 1
175 103 -1 1
164 104 -1 1
165 104 -1 1
166 104 -1 1
167 104 -1 1
168 104 -1 1
169 104 -1 1
170 104 -1 1
171 104 -1 1
172 104 -1 1
173 104 -1 1
174 104 -1 1
175 104 -1 1
165 105 -1 1
166 105 -1 1
167 105 -1 1
168 105 -1 1
169 105 -1 1
170 105 -1 1
171 105 -1 1
172 105 -1 1
173 105 -1 1
174 105 -1 1
175 105 -1 1
176 105 -1 1
165 106 -1 1
166 106 -1 1
167 106 -1 1
168 106 -1 1
169 106 -1 1
170 106 -1 1
171 106 -1 1
172 106 -1 1
173 106 -1 1
174 106 -1 1
175 106 -1 1
176 106 -1 1
177 106 -1 1
165 107 -1 1
166 107 -1 1
167 107 -1 1
168 107 -1 1
169 107 -1 1
170 107 -1 1
171 107 -1 1
172 107 -1 1
173 107 -1 1
174 107 -1 1
175 107 -1 1
176 107 -1 1
177 107 -1 1
166 108 -1 1
167 108 -1 1
168 108 -1 1
169 108 -1 1
170 108 -1 1
171 108 -1 1
172 108 -1 1
173 108 -1 1
174 108 -1 1
175 108 -1 1
176 108 -1 1
177 108 -1 1
178 108 -1 1
167 109 -1 1
168 109 -1 1
169 109 -1 1
170 109 -1 1
171 109 -1 1
172 109 -1 1
173 109 -1 1
174 109 -1 1
175 109 -1 1
176 109 -1 1
177 109 -1 1
178 109 -1 1
167 110 -1 1
168 110 -1 1
169 110 -1 1
170 110 -1 1
171 110 -1 1
172 110 -1 1
173 110 -1 1
174 110 -1 1
175 110 -1 1
176 110 -1 1
177 110 -1 1
178 110 -1 1
179 110 -1 1
168 111 -1 1
169 111 -1 1
170 111 -1 1
171 111 -1 1
172 111 -1 1
173 111 -1 1
174 111 -1 1
175 111 -1 1
176 111 -1 1
177 111 -1 1
178 111 -1 1
179 111 -1 1
180 111 -1 1
168 112 -1 1
169 112 -1 1
170 112 -1 1
171 112 -1 1
172 112 -1 1
173 112 -1 1
174 112 -1 1
175 112 -1 1
176 112 -1 1
177 112 -1 1
178 112 -1 1
179 112 -1 1
180 112 -1 1
169 113 -1 1
170 113 -1 1
171 113 -1 1
172 113 -1 1
173 113 -1 1
174 113 -1 1
175 113 -1 1
176 113 -1 1
177 113 -1 1
178 113 -1 1
179 113 -1 1
180 113 -1 1
170 114 -1 1
171 114 -1 1
172 114 -1 1
173 114 -1 1
174 114 -1 1
175 114 -1 1
176 114 -1 1
177 114 -1 1
178 114 -1 1
179 114 -1 1
180 114 -1 1
170 115 -1 1
171 115 -1 1
172 115 -1 1
173 115 -1 1
174 115 -1 1
175 115 -1 1
176 115 -1 1
177 115 -1 1
178 115 -1 1
179 115 -1 1
180 115 -1 1
170 116 -1 1
171 116 -1 1
172 116 -1 1
173 116 -1 1
174 116 -1 1
175 116 -1 1
176 116 -1 1
177 116 -1 1
178 116 -1 1
179 116 -1 1
180 116 -1 1
181 116 -1 1
170 117 -1 1
171 117 -1 1
172 117 -1 1
173 117 -1 1
174 117 -1 1
175 117 -1 1
176 117 -1 1
177 117 -1 1
178 117 -1 1
179 117 -1 1
180 117 -1 1
181 117 -1 1
170 118 -1 1
171 118 -1 1
172 118 -1 1
173 118 -1 1
174 118 -1 1
175 118 -1 1
176 118 -1 1
177 118 -1 1
178 118 -1 1
179 118 -1 1
180 118 -1 1
181 118 -1 1
182 118 -1 1
171 119 -1 1
172 119 -1 1
173 119 -1 1
174 119 -1 1
175 119 -1 1
176 119 -1 1
177 119 -1 1
178 119 -1 1
179 119 -1 1
180 119 -1 1
181 119 -1 1
182 119 -1 1
171 120 -1 1
172 120 -1 1
173 120 -1 1
174 120 -1 1
175 120 -1 1
176 120 -1 1
177 120 -1 1
178 120 -1 1
179 120 -1 1
180 120 -1 1
181 120 -1 1
182 120 -1 1
172 121 -1 1
173 121 -1 1
174 121 -1 1
175 121 -1 1
176 121 -1 1
177 121 -1 1
178 121 -1 1
179 121 -1 1
180 121 -1 1
181 121 -1 1
182 121 -1 1
183 121 -1 1
172 122 -1 1
173 122 -1 1
174 122 -1 1
175 122 -1 1
176 122 -1 1
177 122 -1 1
178 122 -1 1
179 122 -1 1
180 122 -1 1
181 122 -1 1
182 122 -1 1
183 122 -1 1
173 123 -1 1
174 123 -1 1
175 123 -1 1
176 123 -1 1
177 123 -1 1
178 123 -1 1
179 123 -1 1
180 123 -1 1
181 123 -1 1
182 123 -1 1
183 123 -1 1
184 123 -1 1
173 124 -1 1
174 124 -1 1
175 124 -1 1
176 124 -1 1
177 124 -1 1
178 124 -1 1
179 124 -1 1
180 124 -1 1
181 124 -1 1
182 124 -1 1
183 124 -1 1
184 124 -1 1
173 125 -1 1
174 125 -1 1
175 125 -1 1
176 125 -1 1
177 125 -1 1
178 125 -1 1
179 125 -1 1
180 125 -1 1
181 125 -1 1
182 125 -1 1
183 125 -1 1
184 125 -1 1
174 126 -1 1
175 126 -1 1
176 126 -1 1
177 126 -1 1
178 126 -1 1
179 126 -1 1
180 126 -1 1
181 126 -1 1
182 126 -1 1
183 126 -1 1
184 126 -1 1
185 126 -1 1
174 127 -1 1
175 127 -1 1
176 127 -1 1
177 127 -1 1
178 127 -1 1
179 127 -1 1
180 127 -1 1
181 127 -1 1
182 127 -1 1
183 127 -1 1
184 127 -1 1
185 127 -1 1
175 128 -1 1
176 128 -1 1
177 128 -1 1
178 128 -1 1
179 128 -1 1
180 128 -1 1
181 128 -1 1
182 128 -1 1
183 128 -1 1
184 128 -1 1
185 128 -1 1
186 128 -1 1
175 129 -1 1
176 129 -1 1
177 129 -1 1
178 129 -1 1
179 129 -1 1
180 129 -1 1
181 129 -1 1
182 129 -1 1
183 129 -1 1
184 129 -1 1
185 129 -1 1
186 129 -1 1
175 130 -1 1
176 130 -1 1
177 130 -1 1
178 130 -1 1
179 130 -1 1
180 130 -1 1
181 130 -1 1
182 130 -1 1
183 130 -1 1
184 130 -1 1
185 130 -1 1
186 130 -1 1
176 131 -1 1
177 131 -1 1
178 131 -1 1
179 131 -1 1
180 131 -1 1
181 131 -1 1
182 131 -1 1
183 131 -1 1
184 131 -1 1
185 131 -1 1
186 131 -1 1
187 131 -1 1
176 132 -1 1
177 132 -1 1
178 132 -1 1
179 132 -1 1
180 132 -1 1
181 132 -1 1
182 132 -1 1
183 132 -1 1
184 132 -1 1
185 132 -1 1
186 132 -1 1
187 132 -1 1
177 133 -1 1
178 133 -1 1
179 133 -1 1
180 133 -1 1
181 133 -1 1
182 133 -1 1
183 133 -1 1
184 133 -1 1
185 133 -1 1
186 133 -1 1
187 133 -1 1
188 133 -1 1
177 134 -1 1
178 134 -1 1
179 134 -1 1
180 134 -1 1
181 134 -1 1
182 134 -1 1
183 134 -1 1
184 134 -1 1
185 134 -1 1
186 134 -1 1
187 134 -1 1
188 134 -1 1
177 135 -1 1
178 135 -1 1
179 135 -1 1
180 135 -1 1
181 135 -1 1
182 135 -1 1
183 135 -1 1
184 135 -1 1
185 135 -1 1
186 135 -1 1
187 135 -1 1
188 135 -1 1
189 135 -1 1
178 136 -1 1
179 136 -1 1
180 136 -1 1
181 136 -1 1
182 136 -1 1
183 136 -1 1
184 136 -1 1
185 136 -1 1
186 136 -1 1
187 136 -1 1
188 136 -1 1
189 136 -1 1
178 137 -1 1
179 137 -1 1
180 137 -1 1
181 137 -1 1
182 137 -1 1
183 137 -1 1
184 137 -1 1
185 137 -1 1
186 137 -1 1
187 137 -1 1
188 137 -1 1
189 137 -1 1
179 138 -1 1
180 138 -1 1
181 138 -1 1
182 138 -1 1
183 138 -1 1
184 138 -1 1
185 138 -1 1
186 138 -1 1
187 138 -1 1
188 138 -1 1
189 138 -1 1
190 138 -1 1
179 139 -1 1
180 139 -1 1
181 139 -1 1
182 139 -1 1
183 139 -1 1
184 139 -1 1
185 139 -1 1
186 139 -1 1
187 139 -1 1
188 139 -1 1
189 139 -1 1
190 139 -1 1
180 140 -1 1
181 140 -1 1
182 140 -1 1
183 140 -1 1
184 140 -1 1
185 140 -1 1
186 140 -1 1
187 140 -1 1
188 140 -1 1
189 140 -1 1
190 140 -1 1
191 140 -1 1
180 141 -1 1
181 141 -1 1
182 141 -1 1
183 141 -1 1
184 141 -1 1
185 141 -1 1
186 141 -1 1
187 141 -1 1
188 141 -1 1
189 141 -1 1
190 141 -1 1
191 141 -1 1
180 142 -1 1
181 142 -1 1
182 142 -1 1
183 142 -1 1
184 142 -1 1
185 142 -1 1
186 142 -1 1
187 142 -1 1
188 142 -1 1
189 142 -1 1
190 142 -1 1
191 142 -1 1
181 143 -1 1
182 143 -1 1
183 143 -1 1
184 143 -1 1
185 143 -1 1
186 143 -1 1
187 143 -1 1
188 143 -1 1
189 143 -1 1
190 143 -1 1
191 143 -1 1
192 143 -1 1
181 144 -1 1
182 144 -1 1
183 144 -1 1
184 144 -1 1
185 144 -1 1
186 144 -1 1
187 144 -1 1
188 144 -1 1
189 144 -1 1
190 144 -1 1
191 144 -1 1
192 144 -1 1
182 145 -1 1
183 145 -1 1
184 145 -1 1
185 145 -1 1
186 145 -1 1
187 145 -1 1
188 145 -1 1
189 145 -1 1
190 145 -1 1
191 145 -1 1
192 145 -1 1
193 145 -1 1
182 146 -1 1
183 146 -1 1
184 146 -1 1
185 146 -1 1
186 146 -1 1
187 146 -1 1
188 146 -1 1
189 146 -1 1
190 146 -1 1
191 146 -1 1
192 146 -1 1
193 146 -1 1
182 147 -1 1
183 147 -1 1
184 147 -1 1
185 147 -1 1
186 147 -1 1
187 147 -1 1
188 147 -1 1
189 147 -1 1
190 147 -1 1
191 147 -1 1
192 147 -1 1
193 147 -1 1
183 148 -1 1
184 148 -1 1
185 148 -1 1
186 148 -1 1
187 148 -1 1
188 148 -1 1
189 148 -1 1
190 148 -1 1
191 148 -1 1
192 148 -1 1
193 148 -1 1
194 148 -1 1
183 149 -1 1
184 149 -1 1
185 149 -1 1
186 149 -1 1
187 149 -1 1
188 149 -1 1
189 149 -1 1
190 149 -1 1
191 149 -1 1
192 149 -1 1
193 149 -1 1
194 149 -1 1
184 150 -1 1
185 150 -1 1
186 150 -1 1
187 150 -1 1
188 150 -1 1
189 150 -1 1
190 150 -1 1
191 150 -1 1
192 150 -1 1
193 150 -1 1
194 150 -1 1
184 151 -1 1
185 151 -1 1
186 151 -1 1
187 151 -1 1
188 151 -1 1
189 151 -1 1
190 151 -1 1
191 151 -1 1
192 151 -1 1
193 151 -1 1
194 151 -1 1
184 152 -1 1
185 152 -1 1
186 152 -1 1
187 152 -1 1
188 152 -1 1
189 152 -1 1
190 152 -1 1
191 152 -1 1
192 152 -1 1
193 152 -1 1
194 152 -1 1
195 152 -1 1
184 153 -1 1
185 153 -1 1
186 153 -1 1
187 153 -1 1
188 153 -1 1
189 153 -1 1
190 153 -1 1
191 153 -1 1
192 153 -1 1
193 153 -1 1
194 153 -1 1
195 153 -1 1
184 154 -1 1
185 154 -1 1
186 154 -1 1
187 154 -1 1
188 154 -1 1
189 154 -1 1
190 154 -1 1
191 154 -1 1
192 154 -1 1
193 154 -1 1
194 154 -1 1
195 154 -1 1
185 155 -1 1
186 155 -1 1
187 155 -1 1
188 155 -1 1
189 155 -1 1
190 155 -1 1
191 155 -1 1
192 155 -1 1
193 155 -1 1
194 155 -1 1
195 155 -1 1
196 155 -1 1
185 156 -1 1
186 156 -1 1
187 156 -1 1
188 156 -1 1
189 156 -1 1
190 156 -1 1
191 156 -1 1
192 156 -1 1
193 156 -1 1
194 156 -1 1
195 156 -1 1
196 156 -1 1
186 157 -1 1
187 157 -1 1
188 157 -1 1
189 157 -1 1
190 157 -1 1
191 157 -1 1
192 157 -1 1
193 157 -1 1
194 157 -1 1
195 157 -1 1
196 157 -1 1
186 158 -1 1
187 158 -1 1
188 158 -1 1
189 158 -1 1
190 158 -1 1
191 158 -1 1
192 158 -1 1
193 158 -1 1
194 158 -1 1
195 158 -1 1
196 158 -1 1
186 159 -1 1
187 159 -1 1
188 159 -1 1
189 159 -1 1
190 159 -1 1
191 159 -1 1
192 159 -1 1
193 159 -1 1
194 159 -1 1
195 159 -1 1
196 159 -1 1
186 160 -1 1
187 160 -1 1
188 160 -1 1
189 160 -1 1
190 160 -1 1
191 160 -1 1
192 160 -1 1
193 160 -1 1
194 160 -1 1
195 160 -1 1
196 160 -1 1
186 161 -1 1
187 161 -1 1
188 161 -1 1
189 161 -1 1
190 161 -1 1
191 161 -1 1
192 161 -1 1
193 161 -1 1
194 161 -1 1
195 161 -1 1
196 161 -1 1
186 162 -1 1
187 162 -1 1
188 162 -1 1
189 162 -1 1
190 162 -1 1
191 162 -1 1
192 162 -1 1
193 162 -1 1
194 162 -1 1
195 162 -1 1
196 162 -1 1
186 163 -1 1
187 163 -1 1
188 163 -1 1
189 163 -1 1
190 163 -1 1
191 163 -1 1
192 163 -1 1
193 163 -1 1
194 163 -1 1
195 163 -1 1
196 163 -1 1
186 164 -1 1
187 164 -1 1
188 164 -1 1
189 164 -1 1
190 164 -1 1
191 164 -1 1
192 164 -1 1
193 164 -1 1
194 164 -1 1
195 164 -1 1
196 164 -1 1
186 165 -1 1
187 165 -1 1
188 165 -1 1
189 165 -1 1
190 165 -1 1
191 165 -1 1
192 165 -1 1
193 165 -1 1
194 165 -1 1
195 165 -1 1
196 165 -1 1
186 166 -1 1
187 166 -1 1
188 166 -1 1
189 166 -1 1
190 166 -1 1
191 166 -1 1
192 166 -1 1
193 166 -1 1
194 166 -1 1
195 166 -1 1
196 166 -1 1
186 167 -1 1
187 167 -1 1
188 167 -1 1
189 167 -1 1
190 167 -1 1
191 167 -1 1
192 167 -1 1
193 167 -1 1
194 167 -1 1
195 167 -1 1
196 167 -1 1
186 168 -1 1
187 168 -1 1
188 168 -1 1
189 168 -1 1
190 168 -1 1
191 168 -1 1
192 168 -1 1
193 168 -1 1
194 168 -1 1
195 168 -1 1
196 168 -1 1
186 169 -1 1
187 169 -1 1
188 169 -1 1
189 169 -1 1
190 169 -1 1
191 169 -1 1
192 169 -1 1
193 169 -1 1
194 169 -1 1
195 169 -1 1
196 169 -1 1
186 170 -1 1
187 170 -1 1
188 170 -1 1
189 170 -1 1
190 170 -1 1
191 170 -1 1
192 170 -1 1
193 170 -1 1
194 170 -1 1
195 170 -1 1
196 170 -1 1
186 171 -1 1
187 171 -1 1
188 171 -1 1
189 171 -1 1
190 171 -1 1
191 171 -1 1
192 171 -1 1
193 171 -1 1
194 171 -1 1
195 171 -1 1
196 171 -1 1
186 172 -1 1
187 172 -1 1
188 172 -1 1
189 172 -1 1
190 172 -1 1
191 172 -1 1
192 172 -1 1
193 172 -1 1
194 172 -1 1
195 172 -1 1
196 172 -1 1
186 173 -1 1
187 173 -1 1
188 173 -1 1
189 173 -1 1
190 173 -1 1
191 173 -1 1
192 173 -1 1
193 173 -1 1
194 173 -1 1
195 173 -1 1
196 173 -1 1
186 174 -1 1
187 174 -1 1
188 174 -1 1
189 174 -1 1
190 174 -1 1
191 174 -1 1
192 174 -1 1
193 174 -1 1
194 174 -1 1
195 174 -1 1
196 174 -1 1
186 175 -1 1
187 175 -1 1
188 175 -1 1
189 175 -1 1
190 175 -1 1
191 175 -1 1
192 175 -1 1
193 175 -1 1
194 175 -1 1
195 175 -1 1
196 175 -1 1
185 176 -1 1
186 176 -1 1
187 176 -1 1
188 176 -1 1
189 176 -1 1
190 176 -1 1
191 176 -1 1
192 176 -1 1
193 176 -1 1
194 176 -1 1
195 176 -1 1
196 176 -1 1
185 177 -1 1
186 177 -1 1
187 177 -1 1
188 177 -1 1
189 177 -1 1
190 177 -1 1
191 177 -1 1
192 177 -1 1
193 177 -1 1
194 177 -1 1
195 177 -1 1
196 177 -1 1
185 178 -1 1
186 178 -1 1
187 178 -1 1
188 178 -1 1
189 178 -1 1
190 178 -1 1
191 178 -1 1
192 178 -1 1
193 178 -1 1
194 178 -1 1
195 178 -1 1
196 178 -1 1
185 179 -1 1
186 179 -1 1
187 179 -1 1
188 179 -1 1
189 179 -1 1
190 179 -1 1
191 179 -1 1
192 179 -1 1
193 179 -1 1
194 179 -1 1
195 179 -1 1
196 179 -1 1
185 180 -1 1
186 180 -1 1
187 180 -1 1
188 180 -1 1
189 180 -1 1
190 180 -1 1
191 180 -1 1
192 180 -1 1
193 180 -1 1
194 180 -1 1
195 180 -1 1
186 181 -1 1
187 181 -1 1
188 181 -1 1
189 181 -1 1
190 181 -1 1
191 181 -1 1
192 181 -1 1
193 181 -1 1
194 181 -1 1
187 182 -1 1
188 182 -1 1
189 182 -1 1
190 182 -1 1
191 182 -1 1
192 182 -1 1
193 182 -1 1
188 183 -1 1
189 183 -1 1
190 183 -1 1
191 183 -1 1
192 183 -1 1
324 184 -1 1
322 185 -1 1
323 185 -1 1
324 185 -1 1
325 185 -1 1
326 185 -1 1
322 186 -1 1
323 186 -1 1
324 186 -1 1
325 186 -1 1
326 186 -1 1
321 187 -1 1
322 187 -1 1
323 187 -1 1
324 187 -1 1
325 187 -1 1
326 187 -1 1
327 187 -1 1
321 188 -1 1
322 188 -1 1
323 188 -1 1
324 188 -1 1
325 188 -1 1
326 188 -1 1
327 188 -1 1
321 189 -1 1
322 189 -1 1
323 189 -1 1
324 189 -1 1
325 189 -1 1
326 189 -1 1
327 189 -1 1
321 190 -1 1
322 190 -1 1
323 190 -1 1
324 190 -1 1
325 190 -1 1
326 190 -1 1
327 190 -1 1
321 191 -1 1
322 191 -1 1
323 191 -1 1
324 191 -1 1
325 191 -1 1
326 191 -1 1
327 191 -1 1
320 192 -1 1
321 192 -1 1
322 192 -1 1
323 192 -1 1
324 192 -1 1
325 192 -1 1
326 192 -1 1
320 193 -1 1
321 193 -1 1
322 193 -1 1
323 193 -1 1
324 193 -1 1
325 193 -1 1
326 193 -1 1
320 194 -1 1
321 194 -1 1
322 194 -1 1
323 194 -1 1
324 194 -1 1
325 194 -1 1
326 194 -1 1
320 195 -1 1
321 195 -1 1
322 195 -1 1
323 195 -1 1
324 195 -1 1
325 195 -1 1
326 195 -1 1
320 196 -1 1
321 196 -1 1
322 196 -1 1
323 196 -1 1
324 196 -1 1
325 196 -1 1
326 196 -1 1
320 197 -1 1
321 197 -1 1
322 197 -1 1
323 197 -1 1
324 197 -1 1
325 197 -1 1
326 197 -1 1
320 198 -1 1
321 198 -1 1
322 198 -1 1
323 198 -1 1
324 198 -1 1
325 198 -1 1
326 198 -1 1
320 199 -1 1
321 199 -1 1
322 199 -1 1
323 199 -1 1
324 199 -1 1
325 199 -1 1
326 199 -1 1
320 200 -1 1
321 200 -1 1
322 200 -1 1
323 200 -1 1
324 200 -1 1
325 200 -1 1
326 200 -1 1
319 201 -1 1
320 201 -1 1
321 201 -1 1
322 201 -1 1
323 201 -1 1
324 201 -1 1
325 201 -1 1
319 202 -1 1
320 202 -1 1
321 202 -1 1
322 202 -1 1
323 202 -1 1
324 202 -1 1
325 202 -1 1
319 203 -1 1
320 203 -1 1
321 203 -1 1
322 203 -1 1
323 203 -1 1
324 203 -1 1
325 203 -1 1
319 204 -1 1
320 204 -1 1
321 204 -1 1
322 204 -1 1
323 204 -1 1
324 204 -1 1
325 204 -1 1
319 205 -1 1
320 205 -1 1
321 205 -1 1
322 205 -1 1
323 205 -1 1
324 205 -1 1
325 205 -1 1
319 206 -1 1
320 206 -1 1
321 206 -1 1
322 206 -1 1
323 206 -1 1
324 206 -1 1
325 206 -1 1
319 207 -1 1
320 207 -1 1
321 207 -1 1
322 207 -1 1
323 207 -1 1
324 207 -1 1
325 207 -1 1
318 208 -1 1
319 208 -1 1
320 208 -1 1
321 208 -1 1
322 208 -1 1
323 208 -1 1
324 208 -1 1
318 209 -1 1
319 209 -1 1
320 209 -1 1
321 209 -1 1
322 209 -1 1
323 209 -1 1
324 209 -1 1
318 210 -1 1
319 210 -1 1
320 210 -1 1
321 210 -1 1
322 210 -1 1
323 210 -1 1
324 210 -1 1
318 211 -1 1
319 211 -1 1
320 211 -1 1
321 211 -1 1
322 211 -1 1
323 211 -1 1
324 211 -1 1
318 212 -1 1
319 212 -1 1
320 212 -1 1
321 212 -1 1
322 212 -1 1
323 212 -1 1
324 212 -1 1
318 213 -1 1
319 213 -1 1
320 213 -1 1
321 213 -1 1
322 213 -1 1
323 213 -1 1
324 213 -1 1
318 214 -1 1
319 214 -1 1
320 214 -1 1
321 214 -1 1
322 214 -1 1
323 214 -1 1
324 214 -1 1
317 215 -1 1
318 215 -1 1
319 215 -1 1
320 215 -1 1
321 215 -1 1
322 215 -1 1
323 215 -1 1
324 215 -1 1
317 216 -1 1
318 216 -1 1
319 216 -1 1
320 216 -1 1
321 216 -1 1
322 216 -1 1
323 216 -1 1
317 217 -1 1
318 217 -1 1
319 217 -1 1
320 217 -1 1
321 217 -1 1
322 217 -1 1
323 217 -1 1
